"id","lat","lon","dist_nearest_hazard_m","nearest_hazard_weight","dist_nearest_hospital_m","nearest_hospital_weight","high_danger_zones_1km","hospitals_within_2km","industrial_hazards_1km","military_zones_1km","water_hazards_500m","weighted_hazard_score_1km","weighted_safety_score_1km","inside_assam_boundary","hazard_to_safety_ratio","hospital_accessibility","hazard_proximity","safety_density","boundary_penalty","critical_hazard_exposure","emergency_response_score","risk_score","risk_label","data_source","created_at","updated_at"
298,"27.734974","89.629705","126830.974294645","0.45","159858.071383154","0.80",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000006255509877216641454","0.000007884447163748212777","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:46:37.480819","2025-09-21 23:46:37.480819"
1616,"26.547335","92.145205","0","0.30","9981.84802335148","0.90",0,0,0,0,0,"0.6","0",True,"600.0000000000000000","0.00010017181446224964","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.00000000000000000000","0.500","MEDIUM","random_assam","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
636,"27.249150","89.799439","63259.1475051938","0.45","96066.6045786504","0.80",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000010409336262582685084","0.000015807740567122417112","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
1871,"25.765545","88.477884","145686.977032748","0.30","157924.291314448","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000006332107996615192589","0.000006863984388878007684","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","outside_boundary","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
182,"27.936444","91.530261","131168.411853677","0.60","141928.060816776","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000007045773390207624805","0.000007623728625965990026","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:46:11.707228","2025-09-21 23:46:11.707228"
659,"26.304090","90.538880","0","0.30","5553.65685980354","0.90",0,0,0,0,0,"1.15","0",True,"1150.0000000000000000","0.00018002912245336583","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.00000000000000000000","0.6375","MEDIUM","near_hazard","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
1331,"26.615450","89.924800","0","0.30","21001.8767031297","0.90",0,0,0,0,0,"0.6","0",True,"600.0000000000000000","0.000047612525376154166507","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.000000000000000000000000","0.500","MEDIUM","near_hazard","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
1363,"26.585124","89.682339","18197.6552057461","0.60","36622.8266624676","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000027304629011495629918","0.000054949115123861288915","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
719,"26.738203","90.840320","0","0.30","31329.3308316703","0.90",0,0,0,0,0,"2.19224008329782","0",True,"2192.2400832978200000","0.000031917952139501472495","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.000000000000000000000000","0.8980600208244550","HIGH","near_hazard","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
634,"27.932440","90.232344","127737.383974897","0.30","172449.129299499","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000005798777907920682479","0.000007828500477949672884","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
1588,"27.907892","89.853581","136038.326520789","0.30","175169.978329691","0.80",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000005708708197758022939","0.000007350815573518617023","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","random_assam","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
126,"27.111387","89.841335","45501.8311323221","0.45","78276.9281946933","0.80",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000012774993194924556733","0.000021976654531495038659","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:46:11.707228","2025-09-21 23:46:11.707228"
416,"26.087722","91.093194","0","0.30","16050.1034362087","0.90",0,0,0,0,0,"0.832936912222495","0",True,"832.9369122224950000","0.000062301012760540893360","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.000000000000000000000000","0.55823422805562375","MEDIUM","near_hospital","2025-09-21 23:46:37.480819","2025-09-21 23:46:37.480819"
361,"27.463276","90.948023","81472.3614132406","0.50","103595.728680779","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000009652814454029538740","0.000012273950437958553798","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:46:37.480819","2025-09-21 23:46:37.480819"
610,"27.033246","91.129173","26637.1259889014","0.50","47052.8750204636","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000021252234796073708446","0.000037540178329986254409","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
936,"27.440283","90.892465","79712.4796179436","0.45","103319.896214047","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000009678584261680503376","0.000012544929725723562555","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","random_assam","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
493,"27.590756","92.867561","70736.1492614566","0.30","97733.0300425017","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000010231850662099260132","0.000014136843376368320924","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hospital","2025-09-21 23:46:37.480819","2025-09-21 23:46:37.480819"
497,"27.904406","92.262156","117296.546487264","0.30","127336.880960654","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000007853122672184163051","0.000008525327510653247732","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hospital","2025-09-21 23:46:37.480819","2025-09-21 23:46:37.480819"
624,"26.124130","90.093865","0","0.30","10625.3550492573","0.90",0,0,0,0,0,"0.6","0",True,"600.0000000000000000","0.000094105645384951847889","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.000000000000000000000000","0.500","MEDIUM","near_hazard","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
684,"27.647413","92.380225","82393.3212819579","0.30","98570.7992941399","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000010144889381759008494","0.000012136758752802210595","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
621,"26.256279","90.712880","0","0.30","7983.69324625415","0.90",0,0,0,0,0,"0.944128411382316","0",True,"944.1284113823160000","0.00012523962651528646","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.00000000000000000000","0.58603210284557900","MEDIUM","near_hazard","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
1024,"26.803500","90.831661","597.078393439855","0.50","35864.2132131742","0.90",0,0,0,0,0,"0.275208696161044","0",False,"275.2086961610440000","0.000027882170783601384131","0.00167202161283320752","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.81880217404026100","HIGH","random_assam","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
1636,"26.754223","90.490906","0","0.30","23565.8559131832","0.90",0,0,0,0,0,"0.6","0",True,"600.0000000000000000","0.000042432473966143451881","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.000000000000000000000000","0.500","MEDIUM","random_assam","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
1826,"26.968524","92.545912","753.53952804087","0.60","13576.9368758738","0.90",0,0,0,0,0,"0.564836572184685","0",True,"564.8365721846850000","0.000073648891517301710728","0.00132531161435167982","0.00000000000000000000",1,"0.0","0.000000000000000000000000","0.49120914304617125","MEDIUM","random_assam","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
1775,"26.494214","92.235061","0","0.30","2124.55151792737","0.90",0,0,0,0,0,"0.6","0",True,"600.0000000000000000","0.00047046613152670241","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.00000000000000000000","0.500","MEDIUM","random_assam","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
355,"27.011705","89.847516","33081.2393237201","0.45","66486.8154128196","0.80",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000015040349781250125597","0.000030227699830555180624","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:46:37.480819","2025-09-21 23:46:37.480819"
1260,"27.265465","90.645414","50266.7056267983","0.85","83631.2464306406","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000011957110357299059282","0.000019893488026373901971","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
1041,"26.906150","90.586745","9580.73173732658","0.30","38671.3396122562","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000025858275191684441238","0.00010436526793005501","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","random_assam","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
923,"27.465057","89.640223","93637.1174544613","0.30","127742.639722297","0.80",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000007828178390516417284","0.000010679411624078479815","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","random_assam","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
1359,"26.715110","90.355984","0","0.30","27956.0245901943","0.90",0,0,0,0,0,"1.44320889500944","0",True,"1443.2088950094400000","0.000035769185550265671074","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.000000000000000000000000","0.7108022237523600","HIGH","near_hazard","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
460,"27.087035","89.581704","52517.3654136941","0.30","90156.9413401862","0.80",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000011091646339026031885","0.000019040958189061444294","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hospital","2025-09-21 23:46:37.480819","2025-09-21 23:46:37.480819"
1881,"25.571244","88.194019","180080.709863479","0.60","187947.240982978","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000005320613775207225737","0.000005553034790474312259","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","outside_boundary","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
1095,"26.104190","90.620413","0","0.30","4709.23771647641","0.90",0,0,0,0,0,"0.739109564421366","0",True,"739.1095644213660000","0.00021230350996978355","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.00000000000000000000","0.53477739110534150","MEDIUM","random_assam","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
1781,"27.494623","90.028042","80786.6987638121","0.30","121413.572960611","0.80",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000008236243604171118728","0.000012378122106480129683","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","random_assam","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
347,"27.884629","93.071941","111961.084259055","0.30","130317.82858755","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000007673488250611354319","0.000008931595071830081679","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:46:37.480819","2025-09-21 23:46:37.480819"
668,"27.248209","92.999902","33271.8893004822","0.30","52822.5001522186","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000018930968169817496541","0.000030054498452754078103","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hazard","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
1609,"26.887277","90.821338","11042.4766083676","0.50","43344.2516299113","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000023070577800266570058","0.000090551194652081195484","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","random_assam","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
1580,"26.409913","92.301617","0","0.30","11399.0024908146","0.90",0,0,0,0,0,"0.822577342967258","0",True,"822.5773429672580000","0.000087719279079608681319","1.00000000000000000000","0.00000000000000000000",1,"0.0","0.000000000000000000000000","0.55564433574181450","MEDIUM","random_assam","2025-09-21 23:47:33.591317","2025-09-21 23:47:33.591317"
832,"27.916302","90.282265","125200.397385486","0.30","169200.609191563","0.90",0,0,0,0,0,"0","0",False,"0.0000000000000000","0.000005910109276016646726","0.000007987131301107388628","0.00000000000000000000",0,"0.0","0.000000000000000000000000","0.75","HIGH","near_hospital","2025-09-21 23:47:12.920773","2025-09-21 23:47:12.920773"
